player_id,name,position_type,eligible_positions,percent_owned,status,player_stats,fantasy_points,position,games_played,overall_rank,positional_rank,pts_above_replacement,pts_above_bench,pts_above_waivers
7109,Auston Matthews,P,['C'],99,,"{'player_id': 7109, 'name': 'Auston Matthews', 'position_type': 'P', 'GP': 73.0, 'G': 60.0, 'A': 46.0, 'PTS': 106.0, '+/-': 20.0, 'PIM': 18.0, 'PPG': 16.0, 'PPA': 13.0, 'PPP': 29.0, 'SHP': 0.0, 'GWG': 10.0, 'SOG': 348.0, 'S%': 0.172, 'FW': 691.0, 'FL': 538.0, 'HIT': 67.0, 'BLK': 62.0, 'PPT': 13545.0, 'Avg-PPT': 186.0, 'SHT': 288.0, 'Avg-SHT': 4.0, 'COR': 461.0, 'FEN': 347.0, 'Off-ZS': 778.0, 'Def-ZS': 342.0, 'ZS-Pct': 69.46, 'GStr': 13.0, 'Shifts': 1669.0}",1092.45,Forward,73.0,1.0,1.0,2.3500000000001364,454.80000000000007,516.7
6743,Connor McDavid,P,['C'],99,,"{'player_id': 6743, 'name': 'Connor McDavid', 'position_type': 'P', 'GP': 80.0, 'G': 44.0, 'A': 79.0, 'PTS': 123.0, '+/-': 28.0, 'PIM': 45.0, 'PPG': 10.0, 'PPA': 34.0, 'PPP': 44.0, 'SHP': 1.0, 'GWG': 9.0, 'SOG': 314.0, 'S%': 0.14, 'FW': 562.0, 'FL': 484.0, 'HIT': 75.0, 'BLK': 26.0, 'PPT': 17872.0, 'Avg-PPT': 223.0, 'SHT': 971.0, 'Avg-SHT': 12.0, 'COR': 370.0, 'FEN': 263.0, 'Off-ZS': 781.0, 'Def-ZS': 399.0, 'ZS-Pct': 66.19, 'GStr': 12.0, 'Shifts': 1757.0}",1090.1,Forward,80.0,2.0,2.0,83.74999999999989,452.44999999999993,514.3499999999999
3637,Alex Ovechkin,P,['LW'],99,,"{'player_id': 3637, 'name': 'Alex Ovechkin', 'position_type': 'P', 'GP': 77.0, 'G': 50.0, 'A': 40.0, 'PTS': 90.0, '+/-': 8.0, 'PIM': 18.0, 'PPG': 16.0, 'PPA': 13.0, 'PPP': 29.0, 'SHP': 1.0, 'GWG': 5.0, 'SOG': 334.0, 'S%': 0.15, 'FW': 4.0, 'FL': 9.0, 'HIT': 155.0, 'BLK': 25.0, 'PPT': 21981.0, 'Avg-PPT': 285.0, 'SHT': 51.0, 'Avg-SHT': 1.0, 'COR': 49.0, 'FEN': 32.0, 'Off-ZS': 867.0, 'Def-ZS': 190.0, 'ZS-Pct': 82.02, 'GStr': 9.0, 'Shifts': 1680.0}",1006.35,Forward,77.0,3.0,3.0,4.399999999999977,368.70000000000005,430.6
6369,Leon Draisaitl,P,"['C', 'LW']",99,,"{'player_id': 6369, 'name': 'Leon Draisaitl', 'position_type': 'P', 'GP': 80.0, 'G': 55.0, 'A': 55.0, 'PTS': 110.0, '+/-': 17.0, 'PIM': 40.0, 'PPG': 24.0, 'PPA': 17.0, 'PPP': 41.0, 'SHP': 1.0, 'GWG': 11.0, 'SOG': 278.0, 'S%': 0.198, 'FW': 887.0, 'FL': 774.0, 'HIT': 53.0, 'BLK': 25.0, 'PPT': 18416.0, 'Avg-PPT': 230.0, 'SHT': 4538.0, 'Avg-SHT': 57.0, 'COR': 42.0, 'FEN': -6.0, 'Off-ZS': 784.0, 'Def-ZS': 623.0, 'ZS-Pct': 55.72, 'GStr': 8.0, 'Shifts': 1827.0}",1001.95,Forward,80.0,4.0,4.0,9.800000000000068,364.30000000000007,426.20000000000005
5376,J.T. Miller,P,"['C', 'LW']",98,,"{'player_id': 5376, 'name': 'J.T. Miller', 'position_type': 'P', 'GP': 80.0, 'G': 32.0, 'A': 67.0, 'PTS': 99.0, '+/-': 15.0, 'PIM': 47.0, 'PPG': 8.0, 'PPA': 30.0, 'PPP': 38.0, 'SHP': 2.0, 'GWG': 6.0, 'SOG': 206.0, 'S%': 0.155, 'FW': 667.0, 'FL': 566.0, 'HIT': 172.0, 'BLK': 56.0, 'PPT': 15880.0, 'Avg-PPT': 199.0, 'SHT': 10036.0, 'Avg-SHT': 125.0, 'COR': 130.0, 'FEN': 75.0, 'Off-ZS': 737.0, 'Def-ZS': 600.0, 'ZS-Pct': 55.12, 'GStr': 8.0, 'Shifts': 2069.0}",992.15,Forward,80.0,5.0,5.0,28.299999999999955,354.5,416.4
6877,Kirill Kaprizov,P,"['LW', 'IR+']",99,O,"{'player_id': 6877, 'name': 'Kirill Kaprizov', 'position_type': 'P', 'GP': 81.0, 'G': 47.0, 'A': 61.0, 'PTS': 108.0, '+/-': 27.0, 'PIM': 34.0, 'PPG': 14.0, 'PPA': 17.0, 'PPP': 31.0, 'SHP': 0.0, 'GWG': 5.0, 'SOG': 289.0, 'S%': 0.163, 'FW': 5.0, 'FL': 4.0, 'HIT': 73.0, 'BLK': 29.0, 'PPT': 16078.0, 'Avg-PPT': 198.0, 'SHT': 198.0, 'Avg-SHT': 2.0, 'COR': 238.0, 'FEN': 158.0, 'Off-ZS': 725.0, 'Def-ZS': 279.0, 'ZS-Pct': 72.21, 'GStr': 8.0, 'Shifts': 1576.0}",963.85,Forward,81.0,6.0,6.0,3.050000000000068,326.20000000000005,388.1
4930,Roman Josi,P,['D'],99,,"{'player_id': 4930, 'name': 'Roman Josi', 'position_type': 'P', 'GP': 80.0, 'G': 23.0, 'A': 73.0, 'PTS': 96.0, '+/-': 13.0, 'PIM': 46.0, 'PPG': 11.0, 'PPA': 26.0, 'PPP': 37.0, 'SHP': 0.0, 'GWG': 2.0, 'SOG': 281.0, 'S%': 0.082, 'FW': 0.0, 'FL': 0.0, 'HIT': 66.0, 'BLK': 133.0, 'PPT': 16243.0, 'Avg-PPT': 203.0, 'SHT': 3400.0, 'Avg-SHT': 43.0, 'COR': 87.0, 'FEN': 62.0, 'Off-ZS': 1008.0, 'Def-ZS': 494.0, 'ZS-Pct': 67.11, 'GStr': 11.0, 'Shifts': 2206.0}",962.4,Defensemen,80.0,7.0,1.0,49.39999999999998,432.69999999999993,480.59999999999997
5364,Jonathan Huberdeau,P,['LW'],99,,"{'player_id': 5364, 'name': 'Jonathan Huberdeau', 'position_type': 'P', 'GP': 80.0, 'G': 30.0, 'A': 85.0, 'PTS': 115.0, '+/-': 35.0, 'PIM': 54.0, 'PPG': 5.0, 'PPA': 33.0, 'PPP': 38.0, 'SHP': 5.0, 'GWG': 7.0, 'SOG': 222.0, 'S%': 0.135, 'FW': 18.0, 'FL': 36.0, 'HIT': 99.0, 'BLK': 28.0, 'PPT': 17708.0, 'Avg-PPT': 221.0, 'SHT': 8788.0, 'Avg-SHT': 110.0, 'COR': 283.0, 'FEN': 182.0, 'Off-ZS': 828.0, 'Def-ZS': 316.0, 'ZS-Pct': 72.38, 'GStr': 9.0, 'Shifts': 1839.0}",960.8,Forward,80.0,8.0,7.0,22.399999999999977,323.15,385.04999999999995
6078,Juuse Saros,G,"['G', 'IR+']",98,O,"{'player_id': 6078, 'name': 'Juuse Saros', 'position_type': 'G', 'GP': 67.0, 'GS': 67.0, 'W': 38.0, 'L': 25.0, 'GA': 173.0, 'GAA': 2.64, 'SA': 2107.0, 'SV': 1934.0, 'SV%': 0.918, 'SHO': 4.0, 'MIN': '3,931:23'}",948.1,Goalie,67.0,9.0,1.0,70.70000000000005,376.45000000000005,508.20000000000005
4471,Steven Stamkos,P,"['C', 'LW']",98,,"{'player_id': 4471, 'name': 'Steven Stamkos', 'position_type': 'P', 'GP': 81.0, 'G': 42.0, 'A': 64.0, 'PTS': 106.0, '+/-': 24.0, 'PIM': 36.0, 'PPG': 16.0, 'PPA': 20.0, 'PPP': 36.0, 'SHP': 0.0, 'GWG': 11.0, 'SOG': 241.0, 'S%': 0.174, 'FW': 545.0, 'FL': 523.0, 'HIT': 93.0, 'BLK': 31.0, 'PPT': 18016.0, 'Avg-PPT': 222.0, 'SHT': 1902.0, 'Avg-SHT': 23.0, 'COR': 79.0, 'FEN': 67.0, 'Off-ZS': 775.0, 'Def-ZS': 482.0, 'ZS-Pct': 61.65, 'GStr': 10.0, 'Shifts': 1788.0}",938.4,Forward,81.0,10.0,8.0,11.949999999999932,300.75,362.65
